;"Temp Consigna clima";"Temp aigua retorn Clima";"Temp aigua impulsió Clima"
"Ma 06:15";55;41;45
"Ma 06:20";55;41,2;46
"Ma 06:25";55;42;47
"Ma 06:30";55;43;48
"Ma 06:35";55;43,6;48
"Ma 06:40";55;44;49
"Ma 06:45";55;45;49
"Ma 06:50";55;45,2;50
"Ma 06:55";55;46;51
"Ma 07:00";55;46,2;51
"Ma 07:05";55;47;51
"Ma 07:10";55;47;52
"Ma 07:15";55;47,6;52
"Ma 07:20";55;48;53
"Ma 07:25";55;48;53
"Ma 07:30";55;49;53
"Ma 07:35";55;49;53
"Ma 07:40";55;49;54
"Ma 07:45";55;49,8;55
"Ma 07:50";55;50;55
"Ma 07:55";55;50,6;55
"Ma 08:00";55;51;55
"Ma 08:05";55;51;55
"Ma 08:10";55;51;55
"Ma 08:15";55;51;56
"Ma 08:20";55;51;56
"Ma 08:25";55;51,4;56
"Ma 08:30";55;52;56
"Ma 08:35";55;52;55
"Ma 08:40";55;51,6;55
"Ma 08:45";55;51;55
"Ma 08:50";55;51;55
"Ma 08:55";55;51;55
"Ma 09:00";55;51;55
"Ma 09:05";55;50,4;55
"Ma 09:10";55;50;55
"Ma 09:15";55;50;54
"Ma 09:20";55;50;54
"Ma 09:25";55;49,2;54
"Ma 09:30";55;49,2;54
"Ma 09:35";55;49;54
"Ma 09:40";55;49;54
"Ma 09:45";55;49;54
"Ma 09:50";55;49;54
"Ma 09:55";55;49;54
"Ma 10:00";55;49;54
"Ma 10:05";55;47,6;51
"Ma 10:10";55;46,6;49
"Ma 10:15";55;46;49
"Ma 10:20";55;45,2;48
"Ma 10:25";55;44,8;48
"Ma 10:30";55;44;47
"Ma 10:35";55;43,8;47
"Ma 10:40";55;43;46
"Ma 10:45";55;42,6;45
"Ma 10:50";55;42;45
"Ma 10:55";55;41,4;45
"Ma 11:00";55;41;44
"Ma 11:05";55;41;44
"Ma 11:10";55;40,4;43
"Ma 11:15";55;40;43
"Ma 11:20";55;39,4;42
"Ma 11:25";55;39;42
"Ma 11:30";55;38,8;41
"Ma 11:35";55;38;41
"Ma 11:40";55;38;41
"Ma 11:45";55;37,2;40
"Ma 11:50";55;37;40
"Ma 11:55";55;37;40
"Ma 12:00";55;36,8;39
"Ma 12:05";55;36;39
"Ma 12:10";55;36;38
"Ma 12:15";55;35,4;38
"Ma 12:20";55;35;38
"Ma 12:25";55;35;37
"Ma 12:30";55;35;37
"Ma 12:35";55;34,8;37
"Ma 12:40";55;34;37
"Ma 12:45";55;34;36
"Ma 12:50";55;33,8;36
"Ma 12:55";55;33;36
"Ma 13:00";55;33;35
"Ma 13:05";55;33;35
"Ma 13:10";55;33;35
"Ma 13:15";55;32,8;35
"Ma 13:20";55;32;34
"Ma 13:25";55;32;34
"Ma 13:30";55;32;34
"Ma 13:35";55;31,4;34
"Ma 13:40";55;31;33
"Ma 13:45";55;31;33
"Ma 13:50";55;31;33
"Ma 13:55";55;31;33
"Ma 14:00";55;31;33
"Ma 14:05";55;30,6;32
"Ma 14:10";55;30;32
"Ma 14:15";55;30;32
"Ma 14:20";55;30;32
"Ma 14:25";55;30;31
"Ma 14:30";55;29,4;31
"Ma 14:35";55;29;31
"Ma 14:40";55;29;31
"Ma 14:45";55;29;31
"Ma 14:50";55;29;31
"Ma 14:55";55;29;30
"Ma 15:00";55;29;30
"Ma 15:05";55;29;30
"Ma 15:10";55;28,2;30
"Ma 15:15";55;28;30
"Ma 15:20";55;28;29
"Ma 15:25";55;28;29
"Ma 15:30";55;28;29
"Ma 15:35";55;28;29
"Ma 15:40";55;28;29
"Ma 15:45";55;28;29
"Ma 15:50";55;28;29
"Ma 15:55";55;28;29
"Ma 16:00";55;27;28
"Ma 16:05";55;27;28
"Ma 16:10";55;27;28
"Ma 16:15";55;27;28
"Ma 16:20";55;27;28
"Ma 16:25";55;27;28
"Ma 16:30";55;27;28
"Ma 16:35";55;26,4;28
"Ma 16:40";55;26;28
"Ma 16:45";55;26;28
"Ma 16:50";55;26;27
